98004,50283
98004,51502
98073,51502
98073,52727
98144,52727
98144,53937
97953,53937
97953,55168
98003,55168
98003,56406
98033,56406
98033,57473
96926,57473
96926,58748
97199,58748
97199,59926
96895,59926
96895,61220
97084,61220
97084,62314
96426,62314
96426,63395
95789,63395
95789,64490
95244,64490
95244,65829
95432,65829
95432,66934
94907,66934
94907,68050
94423,68050
94423,69341
94345,69341
94345,70156
93192,70156
93192,71485
93153,71485
93153,72568
92590,72568
92590,73702
92113,73702
92113,74741
91467,74741
91467,75567
90483,75567
90483,76688
89978,76688
89978,77537
89068,77537
89068,78372
88163,78372
88163,79469
87609,79469
87609,80612
87093,80612
87093,81578
86346,81578
86346,82422
85463,82422
85463,82939
84244,82939
84244,84206
83804,84206
83804,84848
82735,84848
82735,85434
81634,85434
81634,86745
81168,86745
81168,87730
80395,87730
80395,87950
79018,87950
79018,88564
77968,88564
77968,89681
77272,89681
77272,90032
76045,90032
76045,90883
75148,90883
75148,91125
73882,91125
73882,91934
72952,91934
72952,92557
71910,92557
71910,92993
70774,92993
70774,93784
69804,93784
69804,94065
68601,94065
68601,94737
67564,94737
67564,94644
66234,94644
66234,95260
65172,95260
65172,96308
64228,96308
64228,96569
63027,96569
63027,96815
61826,96815
61826,96343
60465,96343
60465,96835
59336,96835
59336,97723
58262,97723
58262,97006
56916,97006
56916,97227
55731,97227
55731,97435
54540,97435
54540,98266
53388,98266
53388,98391
52167,98391
52167,98195
50936,98195
50936,98172
49715,98172
49715,97959
48500,97959
48500,98135
47273,98135
47273,98219
46040,98219
46040,97295
44907,97295
44907,97942
43605,97942
43605,96967
42520,96967
42520,96937
41300,96937
41300,96652
40124,96652
40124,96994
38801,96994
38801,96419
37687,96419
37687,95965
36552,95965
36552,95897
35300,95897
35300,95312
34211,95312
34211,94929
33056,94929
33056,94007
32118,94007
32118,93804
30894,93804
30894,93729
29593,93729
29593,93046
28568,93046
28568,92453
27503,92453
27503,91601
26586,91601
26586,90840
25632,90840
25632,90635
24336,90635
24336,89546
23599,89546
23599,89479
22173,89479
22173,88691
21234,88691
21234,87455
20651,87455
20651,87191
19306,87191
19306,86273
18485,86273
18485,85089
17918,85089
17918,84736
16587,84736
16587,83568
16032,83568
16032,83102
14760,83102
14760,82116
14026,82116
14026,81313
13084,81313
13084,79817
12987,79817
12987,79115
11922,79115
11922,78148
11187,78148
11187,77151
10493,77151
10493,75950
10112,75950
10112,74905
9511,74905
9511,74201
8326,74201
8326,72904
8152,72904
8152,71838
7581,71838
7581,70676
7210,70676
7210,69798
6230,69798
6230,68607
5921,68607
5921,67692
4935,67692
4935,66370
4983,66370
4983,65240
4534,65240
4534,64208
3759,64208
3759,62870
3992,62870
3992,61715
3622,61715
3622,60663
2780,60663
2780,59343
3127,59343
3127,58209
2581,58209
2581,57040
2155,57040
2155,55761
2518,55761
2518,54592
2022,54592
2022,53344
2362,53344
2362,52146
2079,52146
2079,50925
2365,50925
2365,50265
94901,50265
94901,48488
1659,48488
1659,47308
2494,47308
2494,46043
1812,46043
1812,44875
2401,44875
2401,43591
1950,43591
1950,42377
2134,42377
2134,41191
2472,41191
2472,40153
3483,40153
3483,38963
3684,38963
3684,37617
3317,37617
3317,36454
3697,36454
3697,35377
4342,35377
4342,34263
4837,34263
4837,32955
4800,32955
4800,31869
5379,31869
5379,30923
